metric,A,B,C,D
final_target,136.8,131.9,321.8,152.8
achieved_bbl_hr,136.63,131.99,160.27,152.85
pct_of_target,99.9,100.1,49.8,100.0
target_feasible,True,True,False,True
settling_hr,23.0,14.0,23.0,15.0
offset_bbl_hr,-0.173,0.092,nan,0.051
overshoot_pct,0.88,0.57,0.95,0.81
IAE,616.8,544.7,24836.6,370.6
violations_total,0,0,0,0
violations_WHP,0,0,0,0
violations_FLP,0,0,0,0
violations_BHP,0,0,0,0
min_margin_WHP,20.47,7.76,1.37,7.76
min_margin_FLP,14.45,6.25,1.71,6.52
min_margin_BHP,120.92,66.33,32.54,66.4
max_abs_du,5.0,5.0,5.0,5.0
ramp_ok,True,True,True,True
choke_travel,57.2,86.0,167.0,64.0
final_choke,52.25,49.0,68.0,62.0
